DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE
27/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
27/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
27/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
27/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
28/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
28/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
28/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
28/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
28/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
29/2/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
29/2/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
29/2/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
29/2/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
29/2/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
1/3/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
1/3/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
1/3/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
1/3/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
1/3/2012,652976.4754,1543588.974,Nonthaburi, Bang Bua Thong,Clay
2/3/2012,644301.2503,1537764.695,Nonthaburi, Bang Bua Thong,Clay
2/3/2012,649329.0219,1540337.296,Nonthaburi, Bang Bua Thong,Clay
2/3/2012,654438.5748,1535343.7,Nonthaburi, Bang Bua Thong,Clay
2/3/2012,650768.8619,1546859.548,Nonthaburi, Bang Bua Thong,Clay
